Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1310.0,1370.0,1300.0,1345.0,1345.0,66717900
2023-03-02,1355.0,1360.0,1290.0,1315.0,1315.0,69086400
2023-03-03,1330.0,1345.0,1270.0,1280.0,1280.0,92720400
2023-03-06,1280.0,1305.0,1240.0,1275.0,1275.0,42853800
2023-03-07,1275.0,1275.0,1210.0,1220.0,1220.0,62806400
2023-03-08,1220.0,1220.0,1170.0,1190.0,1190.0,82458400
2023-03-09,1195.0,1235.0,1170.0,1170.0,1170.0,48299500
2023-03-10,1175.0,1180.0,1140.0,1150.0,1150.0,84006300
2023-03-13,1150.0,1165.0,1120.0,1140.0,1140.0,58728400
2023-03-14,1145.0,1155.0,1070.0,1070.0,1070.0,49274800
2023-03-15,1080.0,1095.0,1035.0,1045.0,1045.0,65509800
2023-03-16,1045.0,1145.0,1010.0,1080.0,1080.0,111472000
2023-03-17,1090.0,1160.0,1090.0,1155.0,1155.0,99475100
2023-03-20,1140.0,1155.0,1090.0,1095.0,1095.0,65824600
2023-03-21,1100.0,1165.0,1090.0,1140.0,1140.0,59343700
2023-03-24,1130.0,1150.0,1100.0,1100.0,1100.0,55009500
2023-03-27,1120.0,1170.0,1110.0,1155.0,1155.0,62755200
2023-03-28,1155.0,1235.0,1155.0,1225.0,1225.0,73013000
2023-03-29,1230.0,1240.0,1195.0,1235.0,1235.0,56373900
2023-03-30,1235.0,1240.0,1185.0,1195.0,1195.0,58950600
2023-03-31,1195.0,1305.0,1165.0,1290.0,1290.0,313228300
2023-04-03,1295.0,1305.0,1230.0,1235.0,1235.0,60512000
2023-04-04,1245.0,1250.0,1180.0,1220.0,1220.0,91378500
2023-04-05,1220.0,1225.0,1170.0,1180.0,1180.0,48579300
2023-04-06,1180.0,1220.0,1165.0,1175.0,1175.0,45698200
2023-04-10,1175.0,1200.0,1120.0,1135.0,1135.0,45435100
2023-04-11,1135.0,1175.0,1125.0,1155.0,1155.0,34191800
2023-04-12,1170.0,1170.0,1125.0,1150.0,1150.0,34655400
2023-04-13,1150.0,1160.0,1115.0,1125.0,1125.0,31411500
2023-04-14,1125.0,1130.0,1055.0,1070.0,1070.0,72075100
2023-04-17,1080.0,1095.0,1055.0,1070.0,1070.0,31083400
2023-04-18,1085.0,1115.0,1060.0,1100.0,1100.0,36365500
2023-04-26,1100.0,1130.0,1090.0,1100.0,1100.0,65694900
2023-04-27,1100.0,1110.0,1085.0,1090.0,1090.0,30020900
2023-04-28,1090.0,1115.0,1080.0,1100.0,1100.0,18135800
2023-05-02,1100.0,1100.0,1030.0,1040.0,1040.0,47264700
2023-05-03,1035.0,1055.0,1005.0,1010.0,1010.0,38184800
2023-05-04,1010.0,1025.0,1005.0,1025.0,1025.0,24181400
2023-05-05,1025.0,1025.0,955.0,960.0,960.0,93095700
2023-05-08,960.0,970.0,920.0,955.0,955.0,82255100
2023-05-09,955.0,975.0,915.0,950.0,950.0,64709500
2023-05-10,950.0,980.0,935.0,945.0,945.0,37865900
2023-05-11,940.0,950.0,905.0,930.0,930.0,35611600
